Customer ID,Customer Name,Prospect,Inactive,Bill to Contact First Name,Bill to Contact Last Name,Bill to Address-Line One,Bill to Address-Line Two,Bill to City,Bill to State,Bill to Zip,Bill to Country,Bill to Sales Tax ID,Ship to Address 1-Line One,Ship to Address 1-Line Two,Ship to City 1,Ship to State 1,Ship to Zipcode 1,Ship to Country 1,Ship to Sales Tax ID 1,Customer Type,Telephone 1,Telephone 2,Fax Number,Customer E-mail,Sales Representative ID,Account #,G/L Sales Account,Open Purchase Order Number,Ship Via,Resale Number,Pricing Level,Use Standard Terms,C.O.D. Terms,Prepaid Terms,Terms Type,Due Days,Discount Days,Discount Percent,Credit Limit,Credit Status,Charge Finance Charges,Due Month End Terms,Cardholder's Name,Credit Card Address Line 1,Credit Card Address Line 2,Credit Card City,Credit Card State,Credit Card Zip Code,Credit Card Country,Credit Card Stored Reference,Merchant ID,Last Known CC Number,Last Known CC Expiration Date,ACH Stored Reference,Last Known ACH Number,Use Receipt Settings,Customer Payment Method,Customer Cash Account,Name Long,Address,Mailing List?,Tax ID :,Br: Head Office,Customer Since Date,Last Statement Date,Customer Web Site,ID Replacement
L2NDPLA01,"2nd Plastic Injection Molding Co., Ltd.",FALSE,FALSE,,,26/160-1 M.18 T.Klongnueng,A.Klongluang,Pathumthani,,12120,,,,,,,,,,L,0-2908-7950-1,,,,,,6111-2140-0,,0,,0,TRUE,FALSE,FALSE,FALSE,30,0,0,999999999,1,FALSE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},,,,{00000000-0000-0000-0000-000000000000},,TRUE,,,,,,,,,,,0
LADCOMA01,Adcomat (Siam) Ltd.,FALSE,FALSE,,,,,,,,,,,,,,,,,L,,,,,,,6111-2140-0,,0,,0,TRUE,FALSE,FALSE,FALSE,30,0,0,999999999,1,FALSE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},,,,{00000000-0000-0000-0000-000000000000},,TRUE,,,,,,,,,,,0
LADVICC01,"Advic Co., Ltd.",FALSE,FALSE,,,"12,14 Soi Ladkrabang","14/1 Ladkabang Rd., Lad Kabang",BANGKOK,,10520,THAILAND,,,,,,,,,,,,,,,,6111-2140-0,,0,,0,TRUE,FALSE,FALSE,FALSE,30,0,0,999999999,1,FALSE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},,,,{00000000-0000-0000-0000-000000000000},,TRUE,,,,,,,,5/10/2012,,,0
LALONSI01,"Alon Siam Co.,Ltd.",FALSE,FALSE,,,,,,,,,,,,,,,,,L,,,,,,,6111-2140-0,,0,,0,TRUE,FALSE,FALSE,FALSE,30,0,0,999999999,1,FALSE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},,,,{00000000-0000-0000-0000-000000000000},,TRUE,,,,,,,,,,,0
LAMPASI01,"Ampas Industries Co., Ltd.",FALSE,FALSE,,,"355 M.4 Sukhumvit Rd.,",T.Praeksa A.Muang,Samuthprakarn,,10280,,,,,,,,,,L,,,,,,,6111-2140-0,,0,,0,TRUE,FALSE,FALSE,FALSE,30,0,0,999999999,1,FALSE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},,,,{00000000-0000-0000-0000-000000000000},,TRUE,,,,,,1.16E+11,Head Office,,,,0
LANPLAS01,"A N Plas Co., Ltd.",FALSE,FALSE,,,,,,,,,,,,,,,,,L,,,,,,,6111-2140-0,,0,,0,FALSE,FALSE,FALSE,FALSE,30,0,0,999999999,1,FALSE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},,,,{00000000-0000-0000-0000-000000000000},,TRUE,,,,,,,,,,,0
LARUNGR01,A.Rungrueng Plastic,FALSE,FALSE,,,"94/1 M.1, Bangpleenoy-Seelong,","T.Bangpleenoy, A.Bangbo",Samutprakarn,,,,,,,,,,,,,,,,,,,6179-2140-0,,0,,0,TRUE,FALSE,FALSE,FALSE,30,0,0,999999999,1,FALSE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},,,,{00000000-0000-0000-0000-000000000000},,TRUE,,,,,,,,8/14/09,,,0
LASIANST01,"Asian Stanley International Co., Ltd.",FALSE,FALSE,,,"48/1 M.1 Kukwang,",Ladlumkaew,Pathumthani,,12140,,,,,,,,,,L,,,,,,,6111-2140-0,,0,,0,FALSE,FALSE,FALSE,FALSE,30,0,0,999999999,1,FALSE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},,,,{00000000-0000-0000-0000-000000000000},,TRUE,,,,,,1.36E+11,Head Office,,,,0
LAURAIP01,Ms.Auraiporn Pangrung,FALSE,FALSE,,,,,,,,,,,,,,,,,L,,,,,,,6111-2140-0,,0,,0,FALSE,TRUE,FALSE,FALSE,0,0,0,999999999,0,FALSE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},,,,{00000000-0000-0000-0000-000000000000},,TRUE,,,,,,,,,,,0
LAVAPLA01,Avaplas (Thailand) Limited,FALSE,FALSE,,,,,,,,,,,,,,,,,L,,,,,,,6111-2140-0,,0,,0,TRUE,FALSE,FALSE,FALSE,30,0,0,999999999,1,FALSE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},,,,{00000000-0000-0000-0000-000000000000},,TRUE,,,,,,,,,,,0
LBANDOM01,"Bando Manufacturing (Thailand) Co., Ltd",FALSE,FALSE,,,47/7 Moo 4 SOI Watbangpla,Rd. T. Buakao A. Muang,Samutsakorn,,74000,,,,,,,,,,L,,,,,,,6111-2140-0,,0,,0,TRUE,FALSE,FALSE,FALSE,30,0,0,999999999,1,FALSE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},,,,{00000000-0000-0000-0000-000000000000},,TRUE,,,,,,,,,,,0
LBANGKO01,"Bangkok Central Leasing Co., Ltd.",FALSE,FALSE,,,8TH FL.Sethiwan Tower 139 Pan,"Road, Silom,Bangrak,Bangkok",10500,,,Thailand,,,,,,,,,L,02-2666040,,02-2666190,,,,6111-2140-0,,0,,0,TRUE,FALSE,FALSE,FALSE,30,0,0,999999999,1,FALSE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},,,,{00000000-0000-0000-0000-000000000000},,TRUE,,,,,,,,,,,0
LBESCOI01,"Besco International Plastic Co., Ltd.",FALSE,FALSE,,,,,,,,,,,,,,,,,L,,,,,,,6111-2140-0,,0,,0,TRUE,FALSE,FALSE,FALSE,30,0,0,999999999,1,FALSE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},,,,{00000000-0000-0000-0000-000000000000},,TRUE,,,,,,,,,,,0
LBILION01,"Bilion Enterprise Co., Ltd.",FALSE,FALSE,,,"8THFL., Sethiwan Tower 139","Pan Road, Silom, Bangrak",Bangkok 10500,,,,,,,,,,,,L,,,,,,,6111-2140-0,,0,,0,TRUE,FALSE,FALSE,FALSE,30,0,0,999999999,1,FALSE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},,,,{00000000-0000-0000-0000-000000000000},,TRUE,,,,,,,,,,,0
LBLSLEA01,"BLS Leasing Co., Ltd.",FALSE,FALSE,,,,,,,,,,,,,,,,,L,,,,,,,6111-2140-0,,0,,0,FALSE,FALSE,FALSE,FALSE,60,0,0,999999999,1,FALSE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},,,,{00000000-0000-0000-0000-000000000000},,TRUE,,,,,,,,,,,0
LBSPENG01,"BSP Engineering & Supply Ltd., Part.",FALSE,FALSE,,,"100/246 M.12, T.Lumtasaw,","A.Wongnoy, Ayutthaya",Ayutthaya,,13170,THAILAND,,,,,,,,,,,,,,,,1221-0000-0,,0,,0,TRUE,FALSE,FALSE,FALSE,30,0,0,999999999,1,FALSE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},,,,{00000000-0000-0000-0000-000000000000},,TRUE,,,,,,1.44E+11,Head Office,2/25/10,,,0
LBUSINE01,"Business Logistics (Thailand) Co.,Ltd.",FALSE,FALSE,,,"1168/32 Lumpini Tower,","16th Floor,Rama IV Rd.,",Tungmahamek,,Sathorn,Bangkok 10120,,,,,,,,,L,,,,,,,6111-2140-0,,0,,0,TRUE,FALSE,FALSE,FALSE,30,0,0,999999999,1,FALSE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},,,,{00000000-0000-0000-0000-000000000000},,TRUE,,,,,,,,,,,0
LBVKPLA01,"B.V.K. Plating Co.,ltd.",FALSE,FALSE,,,,,,,,,,,,,,,,,L,,,,,,,6111-2140-0,,0,,0,TRUE,FALSE,FALSE,FALSE,30,0,0,999999999,1,FALSE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},,,,{00000000-0000-0000-0000-000000000000},,TRUE,,,,,,,,,,,0
LCALSON01,"Calsonic Kansei (Thailand) Co.,Ltd.",FALSE,FALSE,,,700/641 Moo 3 Tambol Bankao,Amphur Phanthong,Chonburi,,20160,,,,,,,,,,,,,,,,,6111-2140-0,,0,,0,TRUE,FALSE,FALSE,FALSE,30,0,0,999999999,1,FALSE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},,,,{00000000-0000-0000-0000-000000000000},,TRUE,,,,,,2.06E+11,Head Office,9/2/2009,,,0
LCANONA01,Canon Ayutthaya (Thailand)  Ltd.,FALSE,FALSE,,,"1/41 Rojana Industrial Park,",M.5 T.Kanham A.U-Thai,Ayutthaya,,13210,,,,,,,,,,L,,,,,,,6111-2140-0,,0,,0,TRUE,FALSE,FALSE,FALSE,30,0,0,999999999,1,FALSE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},,,,{00000000-0000-0000-0000-000000000000},,TRUE,,,,,,,,,,,0
LCANONA02,Canon Hi-tech (Thailand)  Ltd.,FALSE,FALSE,,,"1/41 Rojana Industrial Park,",M.5 T.Kanham A.U-Thai,Ayutthaya,,13210,,,,,,,,,,L,,,,,,,6111-2140-0,,0,,0,TRUE,FALSE,FALSE,FALSE,30,0,0,999999999,1,FALSE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},,,,{00000000-0000-0000-0000-000000000000},,TRUE,,,,,,,,5/5/2009,,,0
LCANONE01,"Canon Engineering (Thailand) Co., Ltd.",FALSE,FALSE,,,Hi - Tech Industrial Estate,56 Moo 1 Banlain Bangpa-in,Ayutthaya,,13160,,,,,,,,,,L,02-656-1144,02-656-1145,02-656-1149,yothin@canon.com,,,6111-2140-0,,0,,0,FALSE,FALSE,FALSE,FALSE,60,0,0,999999999,0,FALSE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},,,,{00000000-0000-0000-0000-000000000000},,TRUE,,,,15th,3rd week friday 2.00 p.m.,check,,,,,0
LCANONH01,Canon Hi-Tech (Thailand) Ltd.,FALSE,FALSE,,,Hi-Tech Industrial Estate,"89 Moo 1, Banlain, Bangpa-in",Ayutthaya,,13160,,,,,,,,,,L,,,,,,,6111-2140-0,,0,,0,FALSE,FALSE,FALSE,FALSE,60,0,0,999999999,0,FALSE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},,,,{00000000-0000-0000-0000-000000000000},,TRUE,,,,,,,,,,,0
LCANONM01,"Canon Marketing (Thailand) Co., Ltd.",FALSE,FALSE,,,98 Sathorn Square Office Tower,"21-24th Floor,North Sathorn Rd",Silom Bangrak,,Bangkok,Thailand,,98 Sathorn Square Office Tower,"21-24th Floor,North Sathorn Rd",Silom Bangrak,,Bangkok,Thailand,,L,,,,,,,6111-2140-0,,0,,0,TRUE,FALSE,FALSE,FALSE,30,0,0,999999999,1,FALSE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},,,,{00000000-0000-0000-0000-000000000000},,TRUE,,,,,,1.06E+11,Head Office,,,,0
LCASIOT01,"Casio (Thailand) Co., Ltd.",FALSE,FALSE,,,60/70 M.19 Navanakorn,"Industrial Estate,Klong Luang",Pathumtani,,12120,,,,,,,,,,L,,,,,,,6111-2140-0,,0,,0,FALSE,FALSE,FALSE,FALSE,30,0,0,999999999,1,FALSE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},,,,{00000000-0000-0000-0000-000000000000},,TRUE,,,,,,,,,,,0
LCCSENG01,"C.C.S. Engineering Co., Ltd.",FALSE,FALSE,,,,,,,,,,,,,,,,,L,,,,,,,6111-2140-0,,0,,0,TRUE,FALSE,FALSE,FALSE,30,0,0,999999999,1,FALSE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},,,,{00000000-0000-0000-0000-000000000000},,TRUE,,,,,,,,,,,0
LCENTUR01,"Century Inoac Co., Ltd.",FALSE,FALSE,,,,,,,,,,,,,,,,,L,,,,,,,6111-2140-0,,0,,0,FALSE,FALSE,FALSE,FALSE,60,0,0,999999999,1,FALSE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},,,,{00000000-0000-0000-0000-000000000000},,TRUE,,,,,,,,,,,0
LCHORCH01,Chor.Chor.Koi Tour Partnership,FALSE,FALSE,,,"3/1  M.1, T.Tawarat,","A.Chaiyo, Angthong",,,,,,,,,,,,,L,,,,,,,6111-2140-0,,0,,0,TRUE,FALSE,FALSE,FALSE,30,0,0,999999999,1,FALSE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},,,,{00000000-0000-0000-0000-000000000000},,TRUE,,,,,,,,,,,0
LCITECH01,"C.I.Technology Co., Ltd.",FALSE,FALSE,,,,,,,,,,,,,,,,,L,,,,,,,6111-2140-0,,0,,0,FALSE,FALSE,FALSE,FALSE,30,0,0,999999999,1,FALSE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},,,,{00000000-0000-0000-0000-000000000000},,TRUE,,,,,,,,,,,0
LCOSMOT01,"COS Motor Sale & Service Co.,Ltd.",FALSE,FALSE,,,"33 Soi Pattanakarn 50,","Suanluang,Suanluang,",Bangkok 10250,,,,,,,,,,,,,,,,,,,6179-2140-0,,0,,0,FALSE,FALSE,FALSE,FALSE,7,0,0,999999999,1,FALSE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},,,,{00000000-0000-0000-0000-000000000000},,TRUE,,,,,,,,12/9/2009,,,0
LCSKENG01,"C.S.K.Engineering  Ltd., Part.",FALSE,FALSE,,,,,,,,,,,,,,,,,L,,,,,,,6111-2140-0,,0,,0,FALSE,TRUE,FALSE,FALSE,0,0,0,999999999,0,FALSE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},,,,{00000000-0000-0000-0000-000000000000},,TRUE,,,,,,,,,,,0
LDMSTEC01,"DMS Tech Co., Ltd.",FALSE,FALSE,,,"977/2 Soi 11B,Bangpoo Ind.,","M.4, T.Praeksa, A.Muang,",Samutprakarn,,,10280,,,,,,,,,L,,,,,,,6111-2140-0,,0,,0,TRUE,FALSE,FALSE,FALSE,30,0,0,999999999,1,FALSE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},,,,{00000000-0000-0000-0000-000000000000},,TRUE,,,,,,,,,,,0
LDONSAL01,"Donsalle Plastic Co.,Ltd.",FALSE,FALSE,,,"9/29 Teparak Rd.,Bangplee Yai,","Bangplee,",Samutprakarn,,10540,,,,,,,,,,L,,,,,,,6179-2140-0,,0,,0,TRUE,FALSE,FALSE,FALSE,30,0,0,999999999,1,FALSE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},,,,{00000000-0000-0000-0000-000000000000},,TRUE,,,,,,,,2/8/2011,,,0
LDRPSTE01,"D.R.P.Steel Co.,Ltd.",FALSE,FALSE,,,228  M.1 T.Makhamkoo,A.Nikompattana Rayong 21180,,,,,,228  M.1 T.Makhamkoo,A.Nikompattana Rayong 21180,,,,,,,38893091,,,,,,6179-2140-0,,3,,0,TRUE,FALSE,FALSE,FALSE,30,0,0,999999999,1,FALSE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},,,,{00000000-0000-0000-0000-000000000000},,TRUE,,,,,,2.16E+11,HEAD OFFICE,3/12/2013,,,0
LEADYIN01,Mrs. Ead Yindeekhan,FALSE,FALSE,,,103/2 M.8 T.hrongkrod,A.Muang Nakornsawan,,,,,,,,,,,,,L,,,,,,,6111-2140-0,,0,,0,FALSE,TRUE,FALSE,FALSE,0,0,0,999999999,0,FALSE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},,,,{00000000-0000-0000-0000-000000000000},,TRUE,,,,,,,,,,,0
LENPLAS01,"Enplas Precision (Thailand) Co., Ltd.",FALSE,FALSE,,,,,,,,,,,,,,,,,L,,,,,,,6111-2140-0,,0,,0,FALSE,FALSE,FALSE,FALSE,30,0,0,999999999,1,FALSE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},,,,{00000000-0000-0000-0000-000000000000},,TRUE,,,,,,,,,,,0
LESCOI01,"Besco International Plastic Co., Ltd.",FALSE,FALSE,,,39 Moo 10 T.Nongkainam,A.NongKae Saraburi 18140,,,,,,,,,,,,,L,,,,,,,6111-2140-0,,0,,0,TRUE,FALSE,FALSE,FALSE,30,0,0,999999999,1,FALSE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},,,,{00000000-0000-0000-0000-000000000000},,TRUE,,,,,,,,7/12/2010,,,0
LFDKTHA01,"FDK (Thailand) Co.,Ltd.",FALSE,FALSE,,,,,,,,,,,,,,,,,L,,,,,,,6111-2140-0,,0,,0,FALSE,FALSE,FALSE,FALSE,30,0,0,999999999,1,FALSE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},,,,{00000000-0000-0000-0000-000000000000},,TRUE,,,,,,,,,,,0
LFISCHE01,"Fischer Tech (Thailand) Co.,Ltd.",FALSE,FALSE,,,"109/519-520 Moo 7,Klongsong,","Klongluang, Pathumthanee",12120,,,,,,,,,,,,,,,,,,,6111-2140-0,,0,,0,TRUE,FALSE,FALSE,FALSE,30,0,0,999999999,1,FALSE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},,,,{00000000-0000-0000-0000-000000000000},,TRUE,,,,,,,,9/2/2009,,,0
LFUJIKO01,"Fujikoki (Thailand) Co., Ltd.",FALSE,FALSE,,,"35/1 M.4, T.Bua Loi,",A.Nong Khae,Saraburi,,18230,Thailand,,,,,,,,,,,,,,,,6111-2140-0,,0,,0,TRUE,FALSE,FALSE,FALSE,30,0,0,999999999,1,FALSE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},,,,{00000000-0000-0000-0000-000000000000},,TRUE,,,,,,1.06E+11,Head Office,9/17/18,,,0
LFUJITS01,"Fujitsu (Thailand) Co., Ltd.",FALSE,FALSE,,,,,,,,,,,,,,,,,L,,,,,,,6111-2140-0,,0,,0,FALSE,FALSE,FALSE,FALSE,60,0,0,999999999,1,FALSE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},,,,{00000000-0000-0000-0000-000000000000},,TRUE,,,,,,,,,,,0
LFURUKA01,Furukawa Automotive Systems (Thailand),FALSE,FALSE,,,"Co.,Ltd 789/72 M.1 Pinthong IE","Nong Khor-Laem Chabang Rd.,",Nongkham,,Sriracha,Chonburi 20230,,"Co.,Ltd 789/72 M.1 Pinthong IE","Nong Khor-Laem Chabang Rd.,",Nongkham,,Sriracha,Chonburi 20230,,,038-296899,,038-296898,,,,6111-2140-0,,0,,0,TRUE,FALSE,FALSE,FALSE,30,0,0,999999999,1,FALSE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},,,,{00000000-0000-0000-0000-000000000000},,TRUE,,,,,,2.06E+11,HEAD OFFICE,2/27/13,,,0
LFURUKA02,Furukawa Automotive Systems (Thailand),FALSE,FALSE,,,"Co.,Ltd.  518 Moo.9 Kabinburi",Industrial Zone Nongki,Kabinburi,,prachinburi,25110 Thailand,,,,,,,,,,037 204791-2,,037 204790,,,,6111-2140-0,,0,,0,TRUE,FALSE,FALSE,FALSE,30,0,0,999999999,1,FALSE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},,,,{00000000-0000-0000-0000-000000000000},,TRUE,,,,,,2.06E+11,Branch 00002,7/7/2015,,,0
LGOLDLA01,Gold-Lam Seng,FALSE,FALSE,Takeshi,Hatano,"Lot417, Jalan227, 46100","Petaling Jaya, Selangor,",Malaysia,,,,,,,,,,,,L,,,,,,,6111-2140-0,,0,,0,TRUE,FALSE,FALSE,FALSE,30,0,0,999999999,1,FALSE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},,,,{00000000-0000-0000-0000-000000000000},,TRUE,,,,,,,,,,,0
LGOLFUSE01,Golf Used Cars,FALSE,FALSE,,,46/10  MOO. 6  ROJANA ROAD,TAMBOL. PAILING,AMPHU. AYUTHAYA,,,AYUTHAYA 13000,,,,,,,,,L,,,,,,,6111-2140-0,,0,,0,TRUE,FALSE,FALSE,FALSE,30,0,0,999999999,1,FALSE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},,,,{00000000-0000-0000-0000-000000000000},,TRUE,,,,,,,,,,,0
LHAYASH01,"Hayashi Telempu (Thailand) Co., Ltd",FALSE,FALSE,,,,,,,,,,,,,,,,,L,,,,,,,6111-2140-0,,0,,0,TRUE,FALSE,FALSE,FALSE,30,0,0,999999999,1,FALSE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},,,,{00000000-0000-0000-0000-000000000000},,TRUE,,,,,,,,,,,0
LHITACH01,"Hitachi Compressor (Thailand) Co., Ltd.",FALSE,FALSE,,,"1/65 Moo 5 Tambol Kanham,","Amphur U - Thai , Ayuthaya",13210,,,,,,,,,,,,L,,,,,,,6111-2140-0,,0,,0,FALSE,FALSE,FALSE,FALSE,60,0,0,999999999,0,FALSE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},,,,{00000000-0000-0000-0000-000000000000},,TRUE,,,,,,,,,,,0
LHITACH02,Hitachi Consumer Product (Thailand) Ltd,FALSE,FALSE,,,"610/1 M.9, T.Nongki",A.Kabinburi  Prachinburi,,,,25110,,,,,,,,,L,037-284000,,"037-455132, 135",,,,6111-2140-0,,0,,0,TRUE,FALSE,FALSE,FALSE,30,0,0,999999999,1,FALSE,FALSE,,,,,,,,{00000000-0000-0000-0000-000000000000},,,,{00000000-0000-0000-0000-000000000000},,TRUE,,,,,,,,,,,0
